动车组,终,D8341,南宁东,防城港北,09:13,-
动车组,始,D8344,防城港北,南宁东,-,09:55
特快,终,T8712,北海,防城港北,10:52,-
动车组,终,D8451,桂林北,防城港北,11:06,-
动车组,始,D3748,防城港北,广州南,-,11:43
特快,始,T8714,防城港北,北海,-,11:54
动车组,终,D8345,南宁东,防城港北,12:19,-
动车组,始,D8350,防城港北,南宁东,-,13:02
动车组,终,D9687,南宁东,防城港北,15:01,-
动车组,终,D8347,南宁东,防城港北,15:46,-
动车组,始,D8354,防城港北,南宁东,-,16:18
特快,终,T8716,北海,防城港北,16:20,-
特快,始,T8718,防城港北,北海,-,17:00
动车组,终,D8493,三江南,防城港北,17:10,-
动车组,始,D9682,防城港北,桂林北,-,17:19
动车组,始,D8454,防城港北,桂林北,-,18:02
动车组,终,D8351,南宁东,防城港北,18:41,-
动车组,始,D9654,防城港北,南宁东,-,19:28
动车组,终,D3746,广州南,防城港北,21:30,-
动车组,始,D8356,防城港北,南宁东,-,21:50
